,Magnitude,,,,,,Time,,,,,
subject,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
sj_003_3A,0,4782.458899999998,0,0,0,0,0,144.64011788368225,0,0,0,0
sj_003_3A,15277.261500000006,4782.458899999998,10.3824,8356.4916,3515.0300999999986,8895.691100000005,348.3949601650238,145.32849192619324,0.578761100769043,233.03928971290588,116.29369854927063,142.78200268745422
sj_021_3A,9823.734200000008,57967.04679999985,27588.966300000022,115749.1932000002,21325.70230000003,88731.39430000041,915.5945777893066,5376.544654369354,2391.2826478481293,10607.399046421051,2179.499328136444,7719.578921794891
sj_026_2A,9379.967100000003,816.0127000000001,0.0,0.0,686.786,887.3241000000003,228.6480963230133,31.86783194541931,0.0,0.0,28.17806601524353,25.332868099212646
sj_015_3A,157.3915,443.59869999999995,210.8144,3302.400400000002,1923.3888000000006,1312.3319999999999,6.300389766693115,18.372446298599243,9.023964405059814,155.00491857528687,97.91624546051025,30.002951622009277
sj_019_1A,662.8894000000001,199.6041,0.0,109.9014,543.4558,1002.0876999999997,44.993072748184204,9.126216173171997,0.0,2.7171671390533447,28.85603904724121,55.292755365371704
sj_010_4A,3667.2099,1168.3270000000002,4510.393300000002,6628.405899999996,1539.2736,0.0,122.97645211219788,39.19517993927002,158.7965488433838,254.07293438911438,41.7923629283905,0.0
sj_023_5A,1219.3348999999998,274.1167,975.8112,1493.9516999999996,2282.8917,1216.9581000000003,62.67446279525757,6.141752004623413,32.78568387031555,33.887386322021484,41.45476222038269,41.44766926765442
sj_024_6A,3854.2486000000017,1187.4139000000002,5465.138700000002,1785.2547999999997,5682.550900000009,348.7724,186.2047016620636,40.00440239906311,1011.2158060073853,222.25093841552734,686.6800487041473,27.818232774734497
sj_009_3A,1880.1781000000003,523.2035,1425.4226999999998,1788.4496000000001,2626.3658999999993,2085.6573000000003,347.9395806789398,100.57246685028076,333.4828317165375,287.647008895874,151.65627002716064,258.8789761066437
sj_011_5A,469.30870000000004,658.2442,0.0,746.7071000000001,960.0960000000001,941.9590999999998,13.868391513824463,123.19186329841614,0.0,11.600762605667114,20.232319831848145,85.96816658973694
sj_022_4A,6116.496699999999,242.68159999999997,731.2559,0.0,224.0075,418.93309999999997,288.54766488075256,5.874156951904297,22.243142127990723,0.0,6.308645009994507,8.562088012695312
sj_016_4A,10076.448200000012,2413.1832999999997,5582.965399999999,3114.8379999999997,0,5687.499599999997,404.5374393463135,80.99603652954102,203.97040247917175,127.17536091804504,0,251.5549659729004
sj_037_1A,474.6728,0.0,0.0,0.0,1033.7696999999998,0.0,9.997069835662842,0.0,0.0,0.0,26.272177696228027,0.0
sj_032_2A,0.0,0.0,1989.4678000000004,0.0,0.0,4576.024800000002,0.0,0.0,60.14782190322876,0.0,0.0,117.42541193962097
sj_043_1A,0.0,2046.1032999999998,23.471,28.012,3702.7516000000014,2763.0356,0.0,59.00996923446655,0.624626874923706,0.6917715072631836,104.1610836982727,82.49330520629883
sj_040_4A,429.5222,0.0,15.4542,313.8376,0.0,1776.696800000001,10.929971933364868,0.0,1.3361573219299316,7.621824741363525,0.0,83.92056822776794
sj_034_4A,484.01529999999997,0.0,0.0,0.0,7.9886,33.6412,28.861433267593384,0.0,0.0,0.0,0.9838342666625977,1.7747581005096436
sj_042_6A,4978.879000000003,0.0,1058.4435000000005,12.7893,114.71529999999998,49.839299999999994,115.98953604698181,0.0,94.37239170074463,0.6954669952392578,7.303148508071899,3.88944149017334
sj_041_5A,0.0,11.5176,0.0,2152.321,1253.7414999999999,137.7228,0.0,0.7821321487426758,0.0,57.35427141189575,27.013808488845825,3.063321113586426
sj_035_5A,0.0,131.1594,26.7426,3752.870299999999,905.3677999999998,74.1772,0.0,4.4578611850738525,0.6951093673706055,155.0363302230835,62.88975477218628,1.5221238136291504
sj_022_4A,6116.496699999999,242.68159999999997,731.2559,0.0,224.0075,418.93309999999997,279.11362051963806,7.5064897537231445,22.420734167099,0.0,7.9163312911987305,13.349920511245728
sj_005_5A,429.63939999999997,179.86149999999998,657.6841999999999,985.4267000000002,1269.2223000000006,854.2703999999999,16.696542501449585,6.242841482162476,13.55162262916565,48.60055446624756,50.19187927246094,21.5282142162323
sj_031_1A,2342.1241,23.805600000000002,773.0606999999999,2842.1976000000013,3168.8212,0.0,51.447510719299316,2.677738666534424,13.383686542510986,96.2209403514862,179.76561188697815,0.0
sj_025_1A,3400.5493999999994,1571.9029999999998,2875.1708000000017,553.7565,12667.0825,0.0,109.38429832458496,45.82482576370239,103.7294864654541,11.33638620376587,325.4958391189575,0.0
sj_027_3A,2140.0595999999987,2986.478900000002,2842.5417000000016,12928.110400000005,3973.0949000000005,31965.535799999965,89.39439058303833,115.73934555053711,89.2186164855957,405.2508771419525,118.21559071540833,1104.64808344841
sj_014_2A,242.89880000000002,15.6614,0.0,998.1206999999999,99.924,650.2367000000004,6.978720426559448,1.393646001815796,0.0,28.849631547927856,6.163746118545532,37.249356508255005
sj_059_5A,327.45950000000005,998.3812000000001,110.06219999999999,3900.7852000000016,591.1647,1880.5167000000013,11.816173791885376,19.649773836135864,2.6851296424865723,109.28946733474731,14.623790979385376,61.97762489318848
sj_062_2A,1995.9478,0.0,2408.763500000001,1681.0744000000009,753.5318,158.2271,95.02536058425903,0.0,102.36033797264099,40.471017360687256,30.006200075149536,6.580621004104614
sj_085_1A,257.63430000000005,2448.9438,5232.078699999997,3395.9267999999997,8813.817899999998,7629.980299999998,5.88911771774292,250.22464990615845,578.4111618995667,493.86921525001526,1771.066665649414,1230.083554983139
sj_075_3A,4335.7712,7379.9775999999965,2844.6397,12281.4769,2857.9292000000014,7954.208599999995,112.57117986679077,269.710510969162,77.68100500106812,2090.11247754097,496.6382682323456,863.955408334732
sj_045_3A,38385.304600000025,24814.16370000002,117.0812,1679.3177999999996,540.3846,303.0328,4629.697203636169,2425.6319999694824,14.30252194404602,31.731516122817993,12.667208909988403,8.068382740020752
sj_073_1A,1152.3018,168.3823,124.74369999999999,341.7469,1858.5968000000012,1093.6000999999997,30.985742807388306,3.692626953125,2.4466216564178467,8.423030376434326,103.84097695350647,31.00574016571045
sj_048_6A,2210.969799999999,704.5517,2160.822,1531.5413999999998,3948.929599999998,869.2049999999999,259.77402925491333,112.04913258552551,180.34443259239197,121.6559112071991,485.21897196769714,83.4328830242157
sj_067_1A,5115.5123,12552.275599999999,4994.553100000002,21224.307499999995,1826.0176999999996,872.2089,685.3085458278656,1875.974953174591,952.3495435714722,1787.0322167873383,71.88227772712708,77.32802629470825
sj_080_2A,6512.534000000005,4.6818,25.2573,759.9279000000001,2117.4087999999997,265.74870000000004,1148.538202047348,0.7534921169281006,5.171865224838257,13.265818357467651,28.493821620941162,71.83045148849487
sj_078_6A,2860.3419,854.2686,24.3,0.0,0.0,138.38049999999998,92.81355142593384,34.41274166107178,0.6867349147796631,0.0,0.0,2.961963415145874
sj_053_5A,1772.2961999999998,1507.2346999999995,0.0,655.5530999999999,92.1998,3195.2238,76.69028639793396,48.93776774406433,0.0,27.061134576797485,5.860060453414917,109.2471182346344
sj_077_5A,13598.098700000013,74519.65730000006,26032.947199999973,54257.558799999984,37126.403899999976,27060.13050000001,643.9925134181976,2846.9521403312683,841.2030637264252,1966.9280052185059,1335.3906571865082,1093.8196182250977
sj_064_4A,110.23130000000002,27.9177,31.0789,40.162800000000004,146.23490000000004,648.8101,7.317036390304565,1.3799667358398438,2.7712881565093994,2.2624433040618896,10.165929794311523,13.956010341644287
sj_084_6A,6509.880899999996,163.8817,2911.1929999999984,1000.4573999999999,443.0333,127.2807,95.51572799682617,3.9409995079040527,45.90913653373718,21.594703197479248,10.280460119247437,2.0606517791748047
sj_066_6A,0.0,0.0,0.0,0.0,0.0,53.3508,0.0,0.0,0.0,0.0,0.0,1.3615190982818604
sj_079_1A,7939.0920000000115,3827.252300000001,6590.513800000008,7336.66519999999,21304.552399999982,7997.235399999994,331.8350613117218,178.60689759254456,268.56136322021484,328.53686809539795,1181.4338564872742,359.4312071800232
